aback|unexpected; surprised and disconcerted
despondent|feeling discouraged and dejected
despot|tyrannical ruler
destitute|very poor, poverty stricken
desultory|lacking a plan or purpose (non enthusiastic)
detached|separate, unconnected
detachment|n. objectivity or aloofness
detach|separate
determinant|n. a strong factor in an outcome
deter|to discourage; prevent from happening
detrimental|causing harm or injury
deus ex machina|improbable or clumsy plot device to work one's way out of a difficult situation
deviate|to stray, wander
deviation|departure, exception, anomaly
devoid|totally lacking
devolve|(verb) pass on or delegate to another
devout|deeply religious
dexterous|skilled physically or mentally
diabolical|fiendish; wicked
dialect|regional style of speaking
diaphanous|very sheer and light; almost completely transparent or translucent
diatribe|bitter and violent attack in words
dictatorial|(adjective) expecting unquestioning obedience; characteristic of an absolute ruler
dictum|an authoritative pronouncement; judicial assertion
didactic|intended to teach, particularly in having moral instruction as an ulterior motive
differ|disagree
differentiate|to distinguish between two items
diffidence|shyness, lack of confidence
diffident|modest or shy because of a lack of self-confidence
diffract|to cause to seperate into parts
difuse|widely spread out
digress|to go aside, depart from the course or track; to diverge, deviate, sweve
dilapidated|in disrepair, run-down, neglected
dilate|speak comprehensively, become wider, large
dilatory|slow to act; intended to cause delay
dilettante|an amateur
diligent|(adjective) characterized by care and perseverance in carrying out tasks
diluvial|relating to a flood
diminution|the act, fact or process of lessening; reduction
diminutive|extremely small
diplomacy|discretion, tact
dirge|funeral hymn
disabuse|free from false ideas, put right
disaffected|discontented and disloyal
disarray|clutter, disorder
disband|to break up
disbar|to expel from legal profession
disburse|to pay out
discern|see with an effort but clearly
disclaim|to deny, disavow
disclose|to confess, divulge
discomfit|to confuse and deject; disconcert
discompose|to disturb the composure or serenity
disconcerting|bewildering, perplexing, slightly disturbing
disconsolate|unhappy, cheerless
discordant|harsh-sounding, badly out of tune
discord|(noun) lack of agreement or harmony
discourse|speech, lecture
discredit|to dishonor or to disgrace
discreet|(adjective) careful to protect one's speech or actions in order to avoid offense or gain an
discrepancy|difference between two things
discrete|distince, separate
discretionary|subject to one's own judgement
discriminate|(verb) recognize or perceive the difference
discursive|passing aimlessly from one subject to another; digressive; rambling
disdain|to regard with scorn and contempt
disenfranchise|(verb) deprive of voting rights
disgorge|to vomit, discharge violently
dishabille|the state of being dressed in a careless, disheveled, or disorderly style or manner; undress
disheartened|(adjective) made less hopeful or enthusiastic
disinclined|averse, unwilling, lacking desire
disingenuous|sly and crafty
disinterested|(adjective) unbiased; neutral
disinterest|lack of interest or a disadvantage
disjointed|lacking coherence or order, being separated
dismal|sad, gloomy, miserable
disparage|dissimilar
disparate|essentially different
disparity|contrast, dissimilarity
dispassionate|free from emotion; impartial, unbiased
dispatch|(noun) the property of being prompt and efficient
dispel|to drive out or scatter
dispensation|(noun) an exemption from a rule or obligation
dispense|to distribute, administer
disperse|to break up, scatter
dispirit|to dishearten, make dejected
dispute|to debate or quarrel
disquieted|feeling anxiety, being disturbed, lacking peace
disquisition|a long or elaborate essay or discussion on a particular subject
disregard|to neglact, pay no attention to
disrepute|disgrace, dishonour
dissemble|speak or behave so as to hide something (in mind)
disseminate|to spread far and wide
dissent|have a different opinion, refuse to assent
dissident|a person who opposes official policy, esp that of an authoritarian state
dissimulate|to conceal under a false appearance
dissipate|to scatter; to pursue pleasure to excess
dissipation|going away, dispersing
dissolution|(noun) a living full of debauchery and indulgence in sensual pleasure
dissonance|n. a clash between two elements that don&#8217;t blend well
dissonant|harsh and unpleasing in sound
dissuade|to persuade someone to alter their original intentions
distend|to expand by stretching, as something hollow or elastic
distinct|easily heard, seen, understood, clearly marked
distorted|pulled out of the usual shape, give a false account of
distrait|inattentive because of distracting worries, fears, etc.; absent-minded
distraught|disracted; violently upset in mind
dither|to move or act confusedly or without clear purpose
diurnal|of or pertaining to a day or each day; daily
divergerence|getting farther apart from a point
diverge|to move, lie, or extend in different directions from a common point; branch off
divert|to turn from one course to another
divestiture|taking off, getting rid of, giving up
divest|to get rid of
divine|to foretell or know by inspiration
divulge|make known something secret
docile|(adjective) easily handled or managed; willing to be taught or led or supervised or directed
doctrinaire|seeking to impose a doctrine in all circumstances without regard to practical considerations
doff|to remove or take off, as clothing
dogma|n. the official beliefs or tenets of particular sect or group
dogmatic|(adjective) highly opinionated, not accepting that your belief may not be correct
dog|(verb) to pursue relentlessly; to hound
doleful|(adjective) filled with or evoking sadness
dolorous|full of, expressing, or causing pain or sorrow; grievous; mournful
donkey engine|a small or auxillary engine, esp on a ship
dormant|in a state of inactivity but awaiting development
dote|be extremely and uncritically fond of
doughty|steadfastly courageous and resolute; valiant
dour|sullen; gloomy; severe or stern
dovetail|(verb) fit together tightly, as if by means of a interlocking joint
doyen|the senior member of a body or gropu; one who is knowledgeable or uniquely skilled as a result of long experience in some field of endeavor
draconian|(of laws or their application) excessively harsh and severe
draggle|make (something) dirty or wet, typically by trailing it through mud or water
drone|the male of the honeybee and other bees, stingless and making no honey; a remote control mechanism, as a radio-controlled airplane or boat; a person who lives on the labor of others; a drudge; to say in a dull, monotonous tone
drowsiness|feeling sleepy, half asleep
dud|no use person, something that fails
dupe|cheat, make a fool of
duplicity|(noun) deceitfulness, pretending to want one thing but interested in something else
duress|(noun) compulsory force or threat
earthenware|dishes made of baked clay
earthy|crude; elemental; of the earth
ebb|to fade away, recede
ebullience|high spirits; exhilaration; a boiling over; overflow
ebullient|overflowing with fervor, enthusiasm, or excitement; high-spirited
eccentric|(adjective) highly unconventional or usual (usually describes a person)
eclectic|selecting from various sources
economical|(adjective) avoiding waste, efficient
ecstatic|joyful
eddy|a current of air or water running in a direction contrary to the main current, or moving in a circular direction; a whirlpool
edict|law, command, official public order
edifice|building front
edifying|(adjective) enlightening or uplifting so as to encourage intellectual or moral improvementgre.magoosh.com/flashcards
editorialize|to express an opinion on an issue
efface|to wipe out; do away with; expunge
effervescent|bubbly, lively
effete|lacking in wholesome vigor; degenerate; decadent
efficacious|capable of having the desired result or effect; effective as a means, measure, remedy
efficacy|n. effectiveness
effigy|stuffed doll; likeness of a person
effluvia|outpouring of gases or vapors
effrontery|shameless boldness, impudence
effulgent|shining brightly; radiant
effusive|expressing feelings of gratitude, pleasure or approval in an unrestrained or heartfelt manner
egocentric|acting as if things are centered around oneself
egotist|(noun) a conceited and self-centered person
egregious|outstandingly bad; shocking
egress|way out, exit
eke|(verb) To live off meager resources, to scrape by
elaborate|worked out with much care in great detail
elation|exhilaration, joy
elegiac|(adjective) expressing sorrow
elegy|a poem of serious reflection, typically a lament for the dead
elevated|high in status, exalted
elicit|to draw out, provoke
eloquence|fluent speaking; skillful use of language
elucidate|to explain, clarify
elude|(verb) escape understanding
elusive|(adjective) difficult to capture or difficult to remember
emaciated|skinny, scrawny, gaunt esp. from hunger
emancipate|to set free, liberate
embellish|to ornament, make attractive with decoration or details; add details to a statement
embezzle|to steal money in violation of a trust
embonpoint|excessive plumpness; stoutness
embroiled|(adjective) involved in argument or contention
embroil|to involve in; cause to fall into disorder
embryonic|(adjective) in an early stage of development
emend|to correct a text
eminence grise|a powerful advisor or decision maker who operates secretly or unofficially
eminent|celebrated, distinguished; outstanding, towering
emollient|having soothing qualities, esp for the skin
emotive|appealing to or expressing emotion
empathetic|(adjective) showing understanding and ready comprehension of other peoples' states and
empathy|identification with another's feelings
empirical|adj. based on evidence
empiricism|(noun) any method that derives knowledge from experience, used in experimental science
empyrean|the highest heaven, supposed by the ancients to contain the pure element of fire
emulate|to try to equal or excel; imitate with effort to equal or surpass
enamor|(verb) attraction or feeling of love
enchant|to charm or attract
encipher|to translate a message into a code
encomium|very high praise
encore|additional performance, often demanded by the audience
encumber|to hinder, burden, restrict motion
endemic|epidemic
endogamous|marrying within a specific group due to law or custom
endorse|write one.s name on the back of
endurance|ability to withstand hardships
enervate|cause (someone) to feel drained of energy or vitality; weaken
engender|be the case of (eg. situation, condition)
engrossing|taken up all the time or attention; writing in large or formal
engulf|to swallow up in or as in a gulf; submerge
enhance|v. intensify, increase, augment
enigma|something that is puzzling
enigmatic|puzzling or inexplicable
enjoin|to direct or impose with authority; to order; to prohibit; to forbid
en masse|all together; as a group
enmity|hostility, antagonism and ill-will
ennui|boredom, lack of interest and energy
enormity|state of being gigantic or terrible
ensconce|to settle comfortably into a place
enshroud|to cover, enclose with a dark cover
entail|to involve as a necessary result, necissitate
enthrall|to captivate, enchant, enslave
entice|to lure or tempt
entitlement|n. belief that one deserves things one has not earned n. the rights one is afforded under the law
entity|something with its own existence or form
entomologist|a scientist who studies insects
entreat|to make an earnest petition or request; to plead; to beseech
entrenched|established solidly in fact
enumerate|to count, list or itemize
enunciate|to utter or pronounce (words, sentences, etc.), esp. in an articulate or a particular manner
enzyme|catalyst
eon|idefinitely long period of time
ephemeral|lasting a very short time; short-lived; lasting but one day
epicene|belonging to, or partaking of the characteristics of, both sexes
epicure|a person with refined taste in food and wine
epigram|short, witty saying or poem
epigraph|a short saying or quotation intended to set the theme at the beginning of a book or chapter
epilogue|concluding section of a literary work
epiphany|(noun) a sudden revelation or moment of insight
epistle|a letter; a poem or other literary work in the form of a letter or series of letters
epithet|an abusive word or phrase
epitome|representative of an entire group; summary
epochal|very significant or influential; defining and epoch or time period
eponym|(noun) the name derived from a person (real or imaginary); the person for whom something is
equable|adj. even-tempered adj. not given to much change or variation
equanimity|mental or emotional stability or composure, esp. under tension or strain; calmness; equilibrium
equestrian|one who rides on horseback
equilibrium|state of being balanced
equine|relating to horses
equitable|fair
equity|justice, fairness
equivocal|having a double or doubtful meaning; suspicious
equivocate|to use ambiguous or unclear expressions, usually to avoid commitment or in order to mislead; prevaricate or hedge
eradicate|to erase or wipe out
erode|wear away, eat into
errant|deviating from the regular or proper course; erring; straying
erratic|irregular in behaviour or opinion
erroneous|in error, mistaken
err|(verb) to make an error
ersatz|(adjective) not real or genuine; phony
erstwhile|former; of times past
eructation|The act or an instance of belching
erudite|characterized by great knowledge; learned or scholarly
escalate|increase, develop
eschew|deliberately avoid using; abstain from
esoteric|intended for or likely to be understood by only a small number of people with a specialized knowledge or interest
espouse|(verb) to adopt or support an idea or cause
estimable|(adjective) deserving of esteem and respect
ethereal|(adjective) characterized by lightness and insubstantiality
eugenics|The study of hereditary improvement of the human race by controlled selective breeding
eulogy|n. memorial speech for one who has passed, normally given at a funeral
euphoria|(noun) a feeling of great (usually exaggerated) elation
evaluating|finding out the value
evanescent|soon passing out of sight, memory or existence; quickly fading or disappearing
evaporate|change into vapour, disappear, die
evasive|(adjective) avoiding or escaping from difficulty or danger or commitment
evenhanded|(adjective) without partiality
evince|to show clearly; make evident or manifest; prove
evoke|call up, bring out
evolve|unfold, develop naturally and gradually
exacerbate|to increase the severity, bitterness, or violence of (disease, ill feeling, etc.); aggravate
exacting|(adjective) requiring and demanding accuracy
exalted|raised or elevated, as in rank or character; of high station
exalt|(verb) praise or glorify
exasperate|(verb) to irritate intensely
excoriate|(verb) to criticize very harshly
excruciating|(adjective) extremely painful
exculpate|free from blame
excursus|a detailed discussion of some point in a book, esp. one added as an appendix
execrate|(verb) to curse and hiss at
exegesis|critical explanation or interpretation of a text or portion of a text, esp. of the Bible
exemplar|(noun) something to be imitated
exemplify|(verb) be characteristic of
exhort|(verb) to strongly urge on; encourage
exigency|urgent need or demand
exigent|adj. urgent or pressing
exiguity|(noun) the quality of being meager
exiguous|scanty; meager; small; slender
exonerate|(verb) pronounce not guilty of criminal charges
exoneration|to clear, as of an accusation; free from guilt or blame; exculpate
exorbitant|much too high or great
expansive|(adjective) communicative, and prone to talking in a sociable manner
expatiate|speak or write at length or in detail
expedite|to speed up the progress of; hasten
explicate|v. to explain in detail
exposition|n. a thorough explanation n. a public show or fair
expositor|a person who expounds or gives an exposition
expound|(verb) add details or explanation; clarify the meaning; state in depth
expunge|to strike or blot out; erase; obliterate
expurgate|remove matter thought to be objectional or unsuitable from a book or account
extant|still in existence
extemporaneous|Composed, performed, or uttered on the spur of the moment, or without previous study; unpremeditated; impromptu
extenuating|(adjective) making less guilty or more forgivable
extinct|no longer active
extirpate|destroy utterly
extort|obtain by threats, violence
extraneous|adj. irrelevant or superfluous
extrapolate|(verb) draw from specific cases for more general cases
extricate|free (someone or something) from a constraint or difficulty
exuberance|state of growing vigorously; being full of life
facetious|not meant to be taken seriously or literally; amusing
facile|(adjective) arrived at without due care or effort; lacking depth
facilitate|make easy (eg. a process of something)
faction|a group or clique within a larger group, party, government, organization, or the like
factious|dissentious; Of, relating to, produced by, or characterized by internal dissension
factitious|(adjective) artificial; not natural
factotum|a person, as a handyman or servant, employed to do all kinds of work around the house
faience|tin glazed earthenware pottery
faineant|idle; indolent
fait accompli|an accomplished fact; a thing already done
fallacious|logically unsound; deceptive; misleading
fallacy|false or mistaken belief
fallow|(of farmland) plowed and harrowed but left unsown for a period of time in order to restore its fertility as part of a crop rotation or to avoid surplus production
fastidious|excessively particular, critical, or demanding; hard to please
fatuous|without sense, foolish self-satisfaction
faucet|device for controlling the outflow of a liquid
faultfinder|one who is concerned with trivial things and continuously full of criticism
faute de mieux|for want of better
favonian|of or pertaining to the west wind; mild or favorable; propitious
fawn|(verb) try to gain favor by extreme flattery
fealty|fidelity to a lord
feckless|(of a person) lacking in efficiency or vitality; unthinking and irresponsible
fecund|producing or capable of producing offspring, fruit, vegetation, etc., in abundance; prolific; fruitful
feint|to make a false show of; simulate; a movement made in order to deceive an adversary; an attack aimed at one place or point merely as a distraction from the real place or point of attack
fell|(adjective) terribly evil
fen|low land covered wholly or partially with water; boggy land; a marsh
ferment|agitation; unrest; to inflame; to be in an excited state; seethe
ferocity|savage cruelty
ferret|(verb) to search for something persistently
fertile|producing much, full of ideas
fertilize|make fertile or productive
fervent|having or showing great warmth or intensity of spirit, feeling, enthusiasm, etc.; ardent
fervid|heated or vehement in spirit, enthusiasm, etc.
fervor|warmth of feelings; earnestness
fete|(verb) to celebrate a person
fetter|a restraint or check on one's freedom, typically one considered unfair or overly restrictive
fiat|an authoritative decree, sanction, or order
fickle|(adjective) liable to sudden unpredictable change, esp. in affections or attachments
fidelity|loyalty, accuracy
fidget|move restlessly, make nervous
figurehead|carved image on the prow of a ship
finagle|(verb) achieve something by means of trickery or devious methods
finical|exacting especially about details; fussy
finite|limited, having bounds
firebrand|(noun) someone who deliberately creates trouble
fissure|long, narrow opening or line of breakage made by cracking or splitting, esp. in rock or earth
flagitious|shamefully wicked, as persons, actions, or times; heinous or flagrant, as a crime
flag|(verb) droop, sink, or settle from or as if from pressure or loss of tautness; become less intense
flamboyant|brightly colored, florid
flammable|having tendency to burst into flames
flaneur|idler; dawdler; loafer
flaunting|show off complacently
fledged|to furnish with or as if with feathers or plumage; to bring up (a young bird) until it is able to fly
fledgling|(adjective) young and inexperienced; describing any new participant in some activity
fleece|(verb) to deceive
fleet|number of ships, quick-moving
flexibility|easily bent without braking
flippant|not showing a serious or respectful attitude
floorwalker|manager in a retail store
florid|very much ornamented; naturally red (eg. of face)
flounce|go or move in an exageratedly impatient or angry manner
flounder|(verb) behave awkwardly; have difficulties
flourish|an instance of suddenly performing or developing in an impressively successful way
flout|oppose, treat with contempt
fluctuate|v. to shift without apparent pattern
flummery|oatmeal or flour boiled with water until thick; complete nonsense; foolish humbug
flummox|(verb) be a mystery or bewildering to
flush|(adjective) to be in abundance
fluster|make nervous or confused
flux|(noun) a state of uncertainty about what should be done (usually following some important event)
foible|(noun) a behavioral attribute that is distinctive and peculiar to an individual
foment|put something (to lessen the pain), cause something
foofaraw|Excessive or flashy ornamentation or decoration; A fuss over a matter of little importance
foolhardy|recklessly or thoughtlessly bold; foolishly rash or venturesome
foppery|the clothes, manners, actions of a fop; foolish quality or action
foppish|like a man who pays too much attention to his clothes
forbear|refrain from, be patient; ancestor
ford|shallow place in a river (to cross)
forestall|v. to hold off or try to prevent
forfeit|suffer the loss of something
forgery|counterfeit
forge|workshop for the shaping of metal; to shape metal; lead
forlorn|(adjective) marked by or showing hopelessness
forthcoming|(adjective) available when required or as promised
forthright|(adjective) characterized by directness in manner or speech; without subtlety or evasion
fortuitous|happening or produced by chance; accidental
foster|to promote the growth or development of; further; encourage
foundling|an infant or small child found abandoned; a child without a known parent or guardian
fractious|refractory or unruly
fragile|easily injured, broken or destroyed
fragrant|sweet-smelling
frangible|easily broken; breakable
frenetic|frantic, frenzied
fret|worry; irritation; wear away
friable|easily crumbled or reduced to powder; crumbly
friction|the rubbing of one thing against another, difference of opinion
fringe|edge; ornamental border; part of hair over the forehead
frivolous|(adjective) not serious in content or attitude or behavior
fructuous|productive; fertile; profitable
frugal|careful, economical
frustrate|(verb) hinder or prevent (the efforts, plans, or desires) of
fulminate|to explode with a loud noise; detonate
fulmination|an expression of vehement protest
fungible|(esp. of goods) being of such nature or kind as to be freely exchangeable or replaceable, in whole or in part, for another of like nature or kind
furtive|stealthy
fusillade|bombardment
futile|hopeless
gadabout|someone who roams about in search of amusement or social activity
gaffe|embarrassing mistake
gainful|profitable
gainsay|contradict
gallant|a very fashionalbe young man
gall|bitterness; careless nerve or to exasperate and irritate
gallimaufry|a hodgepodge; jumble; confused medley
galumph|to move in a clumsy manner or with a heavy tread
galvanic|pertaining to or produced by galvanism; producing or caused by an electric current
galvanize|excite to action
gambit|plot
gambol|to skip about, as in dancing or playing; frolic
game|courageous
gamut|the entire scale or range
gargantuan|gigantic; enormous; colossal
garner|gather
garrote|stranglehold
garrulous|talkative
gauche|awkward
gaucherie|socially awkward, tactless bahaviour
gaunt|thin and boney
gavel|mallet used for commanding attention
gelid|very cold, icy
genealogy|ancestry
genetics|study of heredity
genial|friendly, warm; kindly; sympathetically cheerful and cheering
genre|a class or category
genteel|elegant
genuflect|kneel in reverence
geriatric|relating to old age or the process of aging
geriatrics|pertaining to old age
germane|closely or significantly related; relevant; pertinent
germinate|to begin to grow (as in a seed or idea)
gerrymander|(verb) to manipulate voting districts in order to favor a particular political party
gestation|growth process from conception to birth
gesticulate|to make or use gestures, esp. in an animated or excited manner with or instead of speech
ghastly|shockingly frightful or dreadful; horrible
gibe|to utter mocking or scoffing words; jeer; heckle
girth|distance around something
gist|the essence of something
glabrous|having a surface devoid of hair or pubescence
glaucoma|disorder of the eye
glean|to gather
glib|insincere manner
global|involving the entire world; relating to the whole
glower|to look or stare with sullen dislike, discontent, or anger
glut|surplus, excess
gluttony|eating and drinking to an excessive level
gnarl|deform
gnomic|of, pertaining to, or noting a writer of aphorisms, esp. any of certain Greek poets
gnostic|having to do with knowledge
goad|encourage
googol|a very large number
gorge|stuff, satiate oneself
gory|bloody
gossamer|thin and flimsy
gouge|overcharge
gracious|kindness
gradation|process occuring by regular degree or stages; variation in color
gradient|incline, rising by degrees
gradual|by degrees
graft|(noun) corruption, usually through bribery
grandiloquence|pompous talk, fancy but meaningless language
grandiloquent|(adjective) puffed up with vanity
grandiose|magnificent and imposing; exaggerated and pretentious
grandious|impressive, large
granular|grainy
grapple|struggle with something
grasp|to perceive and understand; hold securely
gratis|free
gratitude|thankfulness
gratuitous|unwarranted, uncalled for
gratuity|tip
gravamen|the essential part of an accusation
grave|serious, requiring consideration
gravitas|seriousness or sobriety, as of conduct or speech
gravity|seriousness
gregarious|sociable
grievance|cause for complaint or protest
grievous|tragic, heinous
grimace|expression of disgust
grimy|dirty or filthy
gris-gris|an African charm or amulet
grisly|gruesome
grooves|long channel in the surface, habital way of living
gross|obscene; blatant; flagrant; total before deductions
grovel|crawl, obey
grubby|dirty and sloppy
guffaw|(verb) laugh boisterously
guile|deceit, cunning
guileless|(adjective) free of deceit
gull|cheat, decieve
gullible|easily deceived or cheated
gumption|(noun) resourcefulness and determination
gustatory|relating to sense of taste
gyrate|to move in a circular motion
hackneyed|made commonplace or trite; stale; banal
hagiographic|(adjective) excessively flattering toward someone's life or work
hail|(verb) enthusiastically acclaim or celebrate something
halcyon|(adjective) idyllically calm and peaceful; suggesting happy tranquillity; marked by peace and
hallow|make holy, regard as holy
hamper|basket with a lid, prevent free movement or activity
hamstrung|(verb) made ineffective or powerless
haphazard|(adjective) marked by great carelessness; dependent upon or characterized by chance
hapless|unlucky; luckless; unfortunate
harangue|(noun) a long pompous speech; a tirade
hardscrabble|yielding a bare or meager living with great labor or difficulty; marked by poverty
harried|(adjective) troubled persistently especially with petty annoyances
harsh|rough, cruel, stern
haughty|(adjective) having or showing arrogant superiority to and disdain of those one views as
hauteur|(noun) overbearing pride evidenced by a superior manner toward inferiors
hector|a blustering, domineering person; a bully
hedge|(verb) to limit or qualify a statement; to avoid making a direct statement
hedonism|n. the pursuit of pleasure
heed|pay attention; notice
hegemony|(adjective) dominance over a certain area
heresy|belief contrary to what is generally acceted
heretic|(noun) a person who holds unorthodox opinions in any field (not merely religion)
hermetic|made airtight by fusion or sealing; not affected by outward influence or power; isolated
hermitage|any secluded place of residence or habitation; retreat; hideaway
heterodox|not in accordance with established or accepted doctrines or opinions, esp. in theology
heyday|(noun) the pinnacle or top of a time period or career
hierarchical|adj. arranged in rank order or hierarchy
hinder|to cause delay, interruption, or difficulty in; hamper; impede
hinterland|an inland area supplying goods, esp. trade goods, to a port
hirsute|hairy; shaggy
histrionic|(adjective) to be overly theatrical
hoary|(adjective) ancient
hoax|something intended to deceive or defraud
hobble|(verb) to hold back the progress of something
hodgepodge|(noun) a confusing mixture or jumble
hoi polloi|the common people generally; the masses
hollow|not solid; with a hole
holster|leather case for a pistol
homily|a sermon; discourse on a religious theme; a moralizing lecture; an inspirational saying, a platitude
homogenous|adj. uniform, identical
hone|to make more acute or effective; improve; perfect; stone used for sharpening tools
hoodwink|(verb) to deceive or trick someone
hound|(verb) to pursue relentlessly
hubris|(noun) overbearing pride or presumption
humdrum|(adjective) dull and lacking excitement
hurdle|light frame, fence to be jumped over
hyperbole|n. obvious exaggeration for effect
iconoclastic|(adjective) defying tradition or convention
iconoclast|(noun) somebody who attacks cherished beliefs or institutions
idee fixe|an idea that dominates the mind
ideological|adj. relating to a particular belief system or theory
idiosyncrasy|(noun) a behavioral attribute that is distinctive and peculiar to an individual
idolatrous|worshipping idols
ignite|to set on fire; kindle
ignoble|of low character, aims, etc.; mean; base
ignominious|(adjective) (used of conduct or character) deserving or bringing disgrace or shame
ignoramus|an extremely ignorant person
illicit|(adjective) contrary to or forbidden by law
illustrious|(adjective) widely known and esteemed; having or conferring glory
imbibe|(verb) to drink or absorb as if drinking
imbroglio|(noun) a confusing and potentially embarrassing situation
immaculate|pure, faultless
immaterial|(adjective) not relevant
imminent|likely to come or happen soon
immure|(verb) to enclose, usually in wallsgre.magoosh.com/flashcards
immutable|(adjective) not able to be changed
impaired|damaged, weakened
impair|v. to hinder or weaken someone or something
impartial|(adjective) free from undue bias or preconceived opinions
impassible|incapable of suffering pain
impassive|without emotion; apathetic; unmoved
impeach|to accuse (a public official) before an appropriate tribunal of misconduct in office
impeccable|(adjective) without fault or error
impecunious|having little or no money; penniless; poor
impede|(verb) be a hindrance or obstacle to
impediment|n. barrier, hindrance, or obstruction
impending|imminent, being about to happen, expected
imperative|urgent, essential
imperious|(adjective) having or showing arrogant superiority to and disdain of those one views as
imperiousness|haughty, arrogant, commanding
impermeable|(adjective) does not allow fluids to pass through
impertinent|(adjective) being disrespectful; improperly forward or bold
imperturbable|adj. remaining calm under any circumstance
impervious|not permitting penetration or passage; impenetrable
impetuous|characterized by sudden or rash action, emotion; impulsive
impiety|lack of reverence or dutifulness
implacable|(adjective) incapable of making less angry or hostile
implacably|not to be appeased, mollified, or pacified; inexorable
implausibility|incredibility
implausible|(adjective) describing a statement that is not believable
implicate|to show to be also involved, usually in an incriminating manner
implicit|implied though not plainly expressed
imply|make a suggestion
imponderable|(adjective) impossible to estimate or figure out
importuned|(verb) beg persistently and urgently
importuning|asking persistently to do something
imprecation|invoking an evil upon someone; a curse
impregnable|not capable of being stormed or taken by assault; unconquerable
imprimatur|sanction or approval; support
impromptu|without preparation
improvident|(adjective) not given careful consideration
imprudence|n. bad judgment
imprudent|(adjective) not wise
impudence|being rash, indisreet
impudent|(adjective) improperly forward or bold
impugned|challenged, to be doubted
impugn|to challenge as false (another's statements, motives, etc.); cast doubt upon
impunity|exemption from punishment or freedom from the injurious consequences of an action
imputation|an accusation; an attribution, as of fault or crime
impute|(verb) attribute (responsibility or fault) to something
inadvertent|(adjective) happening by chance or unexpectedly or unintentionally
inanity|(noun) total lack of meaning or ideas
inarticulate|(adjective) without or deprived of the use of speech or words
incarnadine|having a fleshy pink color; red; blood-red
incense|(verb) make furious
incessant|(adjective) uninterrupted in time and indefinitely long continuing
Inchoate|adj. rudimentary, in the beginning stages
inchoate|chaotic, confused, not quite fully developed
incipient|beginning to exist or appear; in an initial stage
incise|engrave, make a cut in
incisive|(adjective) having or demonstrating ability to recognize or draw fine distinctions
incite|stir up, rouse
inclement|(of the weather, the elements, etc.) severe, rough, or harsh; stormy
inclined|directing the mind in a certain direction
incoherently|not consistently, unclearly
inconclusive|adj. indeterminate or unresolved
incongruous|out of keeping or place; unbecoming
incontrovertible|(adjective) necessarily or demonstrably true; impossible to deny or disprovegre.magoosh.com/flashcards
incorrigibility|cannot be cured or corrected
incorrigible|(adjective) impervious to correction by punishment
inculcate|to implant by repeated statement or admonition; teach persistently and earnestly
incumbent|(adjective) necessary (for someone) as a duty or responsibility
incumbents|official duties
incursion|sudden attack
indebted|adj. owing money adj. owing gratitude to someone or something
indecorous|(adjective) not in keeping with accepted standards of what is right or proper in polite
indefatigable|incapable of being tired out; not yielding to fatigue; untiring
indelible|that which cannot be rubbed out
indict|(verb) to formally charge or accuse of wrong-doing
indifference|(noun) the trait of seeming not to care
indigence|poverty
indigenous|native
indigent|(adjective) poor; having very little
indignant|(adjective) feeling anger over a perceived injustice
indistinct|not easily heard, seen, clearly marked
indolent|having or showing a disposition to avoid exertion; slothful
indurate|to make hard; harden, as rock, tissue, etc
industrious|(adjective) characterized by hard work and perseverance
ineffable|(adjective) too sacred to be uttered; defying expression or description
inefficacious|not able to produce the desired effect; ineffective
ineluctable|(adjective) impossible to avoid or evade
inept|unskillful; said or done at the wrong time
inequity|(noun) injustice by virtue of not conforming with rules or standards
inexorable|unyielding; unalterable; not to be persuaded, moved or affected by prayers or entreaties
infelicitous|(adjective) inappropriate
infertile|not fertile, barren
infertility|being not fertile
infer|v. to conclude from implicit evidence (as opposed to explicit facts)
inflammable|(adjective) extremely controversial, incendiary
infuse|put, pour, fill
ingenuity|(noun) the power of creative imagination
ingenuous|(adjective) to be naÃ ̄ve and innocent
ingratiate|(verb) gain favor with somebody by deliberate efforts
inhibit|hinder, restrain
inimical|adverse in tendency or effect; unfavorable; harmful
inimitable|(adjective) defying imitation; matchless
inkhorn|a small container of horn or other material, formerly used to hold writing ink
inkling|(noun) a slight suggestion or vague understanding
Innocuous|adj. harmless
innocuous|not harmful or injurious; harmless; not interesting, stimulating, or significant; pallid; insipid
inscrutable|Difficult to fathom or understand
insidious|(adjective) working in a subtle but destructive way
insipid|without taste or flavour
insolent|(adjective) rude and arrogant
insolvent|(adjective) unable to pay one's bills; bankrupt
insouciance|(noun) lack of concern
insufferable|(adjective) intolerable, difficult to endure
insular|adj. tight-knit and isolated; uninterested in matters outside one&#8217;s immediate sphere
insularity|being narrow-minded
insuperable|incapable of being passed over, overcome, or surmounted
intensive|adj. concentrated and in-depth
intermediary|n. a go-between
intermittent|(adjective) stopping and starting at irregular intervalsgre.magoosh.com/flashcards
internecine|mutually destructive; of or pertaining to conflict or struggle within a group
interregnum|any period during which a state has no ruler or only a temporary executive
intersperse|place here and there
intimate|(verb) to suggest something subtly
intimation|(noun) an indirect suggestion
intractable|adj. unmanageable adj. stubborn or obstinate
intransigent|refusing to agree or compromise; uncompromising; inflexible
intrepid|resolutely fearless; dauntless
introspection|examining one.s own thoughts and feelings
inundate|(verb) to flood or overwhelm
inundation|to flood; cover or overspread with water; deluge
